,City,Code,Name,Name_En
51,臺北市,C0A9B0,石牌,Shipai
52,臺北市,C0A9C0,天母,Tianmu
53,臺北市,C0A9E0,士林,Shihlin
54,臺北市,C0A9F0,內湖,Neihu
55,臺北市,C0AC40,大屯山,Datunshan
56,新北市,C0AC60,三峽,Sanshia
57,臺北市,C0AC70,信義,Xinyi
58,臺北市,C0AC80,文山,Wenshan
59,新北市,C0ACA0,新莊,Xinzhuang
60,新北市,C0AD00,三芝,Sanzhi
61,新北市,C0AD10,八里,Bali
62,新北市,C0AD30,蘆洲,Lujhou
63,新北市,C0AD40,土城,Tucheng
64,新北市,C0AD50,鶯歌,Yingge
65,新北市,C0AG90,中和,Zhonghe
66,新北市,C0AH00,汐止,Xizhi
67,新北市,C0AH10,永和,Yonghe
68,新北市,C0AH30,五分山,Wufengshan
69,臺北市,C0AH40,平等,Pingdeng
70,新北市,C0AH50,林口,Linkou
71,臺北市,C0AH70,松山,Songshan
72,新北市,C0AH80,深坑,Shenkeng
73,新北市,C0AH90,福山植物園,FushanBotanicalGarden
74,新北市,C0AI00,五股,Wugu
75,基隆市,C0B010,七堵,Qidu
76,桃園市,C0C460,復興,Fuxing
77,桃園市,C0C480,桃園,Taoyuan
78,桃園市,C0C490,八德,Bade
79,桃園市,C0C540,大園,Dayuan
80,桃園市,C0C590,觀音,Guanyin
81,桃園市,C0C620,蘆竹,Luzhu
82,桃園市,C0C630,大溪,Dasi
83,桃園市,C0C650,平鎮,Pingjhen
84,桃園市,C0C660,楊梅,Yangmei
85,桃園市,C0C670,龍潭,Longtan
86,桃園市,C0C680,龜山,Guishan
87,桃園市,C0C700,中壢,Zhongli
88,新竹縣,C0D360,梅花,Meihua
89,新竹縣,C0D390,關西,Guanxi
90,新竹縣,C0D430,峨眉,Emei
91,新竹縣,C0D480,打鐵坑,Datiekeng
92,新竹縣,C0D540,橫山,Hengshan
93,新竹縣,C0D550,雪霸,Xueba
94,新竹縣,C0D560,竹東,Zhudong
95,新竹市,C0D570,香山,Siangshan
96,新竹縣,C0D580,寶山,Baoshan
97,新竹縣,C0D590,新豐,Sinfong
98,新竹縣,C0D650,湖口,Hukou
99,新竹市,C0D660,新竹市東區,DongquHsinshuCity
100,苗栗縣,C0E420,竹南,Jhunan
101,苗栗縣,C0E430,南庄,Nanzhuang
102,苗栗縣,C0E520,大湖,Dahu
103,苗栗縣,C0E530,三義,Sanyi
104,苗栗縣,C0E540,後龍,Houlong
105,苗栗縣,C0E550,明德,Mingde
106,苗栗縣,C0E590,通霄,Tongxiao
107,苗栗縣,C0E610,馬都安,Madu-an
108,苗栗縣,C0E730,頭份,Toufen
109,苗栗縣,C0E740,造橋,Zaoqiao
110,苗栗縣,C0E750,苗栗,Miaoli
111,苗栗縣,C0E780,銅鑼,Tongluo
112,苗栗縣,C0E790,卓蘭,Zhuolan
113,苗栗縣,C0E810,西湖,Xihu
114,苗栗縣,C0E820,獅潭,Shitan
115,苗栗縣,C0E830,苑裡,YUANLI
116,苗栗縣,C0E850,大河,Dahe
117,苗栗縣,C0E860,觀霧2,Kuang-Wu2
